title,release_date,critic_score,audience_score,release_year
Toy Story 2,"Released Nov 24, 1999",1.0,0.87,1999
Austin Powers: The Spy Who Shagged Me,"Released Jun 11, 1999",0.53,0.71,1999
Tarzan,"Released Jun 18, 1999",0.89,0.75,1999
Big Daddy,"Released Jun 25, 1999",0.39,0.74,1999
The Mummy,"Released May 7, 1999",0.62,0.75,1999
Runaway Bride,"Released Jul 30, 1999",0.46,0.52,1999
The Blair Witch Project,"Released Jan 25, 1999",0.86,0.57,1999
In Dreams,"Released Jan 15, 1999",0.25,0.4,1999
Varsity Blues,"Released Jan 15, 1999",0.45,0.76,1999
The 24-Hour Woman,"Released Nov 1, 1998",0.5,0.33,1998
She's All That,"Released Jan 29, 1999",0.41,0.55,1999
Simply Irresistible,"Released Feb 5, 1999",0.16,0.54,1999
Blast From the Past,"Released Feb 12, 1999",0.58,0.57,1999
Message in a Bottle,"Released Feb 12, 1999",0.32,0.66,1999
My Favorite Martian,"Released Feb 12, 1999",0.12,0.31,1999
Jawbreaker,"Released Jan 30, 1999",0.14,0.55,1999
October Sky,"Released Feb 19, 1999",0.91,0.88,1999
Office Space,"Released Feb 19, 1999",0.81,0.93,1999
20 Dates,"Released Feb 26, 1999",0.35,0.47,1999
200 Cigarettes,1999,0.3,0.59,1999
8MM,"Released Feb 26, 1999",0.23,0.52,1999
Just the Ticket,"Released Feb 26, 1999",0.23,0.38,1999
The Other Sister,"Released Feb 26, 1999",0.29,0.71,1999
Lansky,1999,0.4,0.24,1999
Analyze This,"Released Mar 5, 1999",0.69,0.62,1999
Cruel Intentions,"Released Mar 5, 1999",0.53,0.8,1999
"Lock, Stock and Two Smoking Barrels","Released Mar 5, 1998",0.75,0.93,1998
Baby Geniuses,"Released Mar 12, 1999",0.02,0.25,1999
The Corruptor,"Released Mar 12, 1999",0.48,0.43,1999
The Deep End of the Ocean,"Released Mar 12, 1999",0.42,0.58,1999
The Rage: Carrie 2,1999,0.23,0.33,1999
Wing Commander,"Released Mar 12, 1999",0.1,0.26,1999
Forces of Nature,"Released Mar 19, 1999",0.46,0.34,1999
The King and I,"Released Mar 19, 1999",0.13,0.41,1999
Ravenous,1999,0.52,0.78,1999
True Crime,1995,0.0,0.41,1995
Doug's 1st Movie,"Released Mar 19, 1999",0.28,0.28,1999
EDtv,"Released Mar 26, 1999",0.63,0.3,1999
The Mod Squad,"Released Mar 26, 1999",0.03,0.17,1999
10 Things I Hate About You,"Released Mar 31, 1999",0.71,0.69,1999
Cookie's Fortune,"Released Jan 22, 1999",0.86,0.66,1999
Foolish,"Released Apr 9, 1999",0.0,0.67,1999
Never Been Kissed,"Released Apr 9, 1999",0.55,0.69,1999
All About My Mother,"Released Nov 24, 1999",0.98,0.93,1999
Goodbye Lover,1998,0.29,0.38,1998
Hideous Kinky,"Released Apr 26, 1998",0.66,0.6,1998
Life,"Released Apr 16, 1999",0.52,0.77,1999
The Jack Bull,1999,0.8,0.73,1999
Election,"Released May 7, 1999",0.92,0.79,1999
eXistenZ,"Released Apr 23, 1999",0.75,0.69,1999
Pushing Tin,"Released Apr 23, 1999",0.48,0.42,1999
Entrapment,"Released Apr 30, 1999",0.4,0.5,1999
Idle Hands,"Released Apr 30, 1999",0.16,0.58,1999
Trippin',"Released May 12, 1999",0.18,0.79,1999
Tea With Mussolini,"Released Apr 2, 1999",0.65,0.76,1999
Rocky Marciano,1999,0.33,0.65,1999
The Love Letter,"Released May 21, 1999",0.33,0.38,1999
The Loss of Sexual Innocence,"Released May 28, 1999",0.47,0.6,1999
Notting Hill,"Released May 28, 1999",0.84,0.79,1999
Inherit the Wind,"Released Nov 1, 1960",0.93,0.91,1960
Instinct,"Released Jun 4, 1999",0.26,0.67,1999
The Red Violin,"Released Jun 11, 1999",0.74,0.91,1999
The General's Daughter,"Released Jun 18, 1999",0.21,0.46,1999
Run Lola Run,"Released Jun 18, 1999",0.93,0.9,1999
My Son the Fanatic,"Released Oct 21, 1997",0.79,0.75,1997
"South Park: Bigger, Longer & Uncut","Released Jun 30, 1999",0.81,0.88,1999
Wild Wild West,"Released Jun 30, 1999",0.16,0.28,1999
Summer of Sam,"Released Jul 2, 1999",0.5,0.6,1999
American Pie,"Released Jul 9, 1999",0.62,0.61,1999
Arlington Road,"Released Jul 9, 1999",0.63,0.74,1999
Genghis Blues,"Released Jul 9, 1999",0.75,0.9,1999
Muppets From Space,"Released Jul 14, 1999",0.63,0.58,1999
Eyes Wide Shut,"Released Jul 16, 1999",0.76,0.74,1999
Lake Placid,"Released Jul 16, 1999",0.47,0.37,1999
The Wood,"Released Jul 16, 1999",0.61,0.92,1999
Inspector Gadget,"Released Jul 23, 1999",0.2,0.18,1999
Trick,"Released Jul 23, 1999",0.79,0.83,1999
Twin Falls Idaho,"Released Jul 30, 1999",0.78,0.83,1999
The Adventures of Sebastian Cole,"Released Aug 6, 1998",0.46,0.7,1998
Illuminata,1998,0.46,0.67,1998
The Iron Giant,"Released Aug 4, 1999",0.96,0.9,1999
Mystery Men,"Released Aug 6, 1999",0.6,0.57,1999
The Thomas Crown Affair,"Released Aug 6, 1968",0.7,0.74,1968
Bowfinger,"Released Aug 13, 1999",0.81,0.61,1999
Brokedown Palace,"Released Aug 13, 1999",0.31,0.66,1999
Detroit Rock City,"Released Aug 13, 1999",0.5,0.82,1999
Mickey Blue Eyes,"Released Aug 20, 1999",0.45,0.42,1999
Teaching Mrs. Tingle,"Released Aug 20, 1999",0.19,0.31,1999
Universal Soldier: The Return,"Released Aug 20, 1999",0.05,0.24,1999
Introducing Dorothy Dandridge,1999,0.83,0.81,1999
The 13th Warrior,"Released Aug 27, 1999",0.33,0.66,1999
The Astronaut's Wife,"Released Aug 27, 1999",0.15,0.33,1999
Dudley Do-Right,"Released Aug 27, 1999",0.16,0.24,1999
The Muse,"Released Aug 27, 1999",0.53,0.34,1999
The Very Thought of You,"Released Aug 27, 1999",0.4,0.6,1999
Chill Factor,"Released Sep 1, 1999",0.1,0.3,1999
Outside Providence,"Released Sep 1, 1999",0.52,0.65,1999
Best Laid Plans,"Released Sep 10, 1999",0.43,0.39,1999
Love Stinks,"Released Sep 10, 1999",0.19,0.63,1999
Stigmata,"Released Sep 10, 1999",0.22,0.63,1999
Stir of Echoes,"Released Sep 10, 1999",0.68,0.7,1999
Blue Streak,"Released Sep 17, 1999",0.35,0.64,1999
Breakfast of Champions,"Released Sep 17, 1999",0.25,0.31,1999
For Love of the Game,"Released Sep 17, 1999",0.46,0.75,1999
Jakob the Liar,"Released Sep 24, 1999",0.29,0.63,1999
The Minus Man,1999,0.59,0.46,1999
Mumford,"Released Sep 24, 1999",0.58,0.65,1999
The Adventures of Elmo in Grouchland,"Released Oct 1, 1999",0.77,0.64,1999
American Beauty,"Released Oct 1, 1999",0.87,0.93,1999
Drive Me Crazy,"Released Oct 1, 1999",0.29,0.53,1999
"Mystery, Alaska","Released Oct 1, 1999",0.37,0.66,1999
Three Kings,"Released Oct 1, 1999",0.94,0.77,1999
Scooby-Doo and the Witch's Ghost,1999,0.5,0.75,1999
The Limey,"Released Oct 8, 1999",0.92,0.78,1999
Random Hearts,"Released Oct 8, 1999",0.18,0.24,1999
Fight Club,"Released Oct 15, 1999",0.8,0.96,1999
The Omega Code,"Released Oct 15, 1999",0.08,0.31,1999
The Story of Us,"Released Oct 15, 1999",0.26,0.58,1999
The Straight Story,"Released May 21, 1999",0.95,0.91,1999
Bats,"Released Oct 22, 1999",0.17,0.14,1999
The Best Man,"Released Oct 22, 1999",0.72,0.86,1999
Body Shots,"Released Oct 22, 1999",0.11,0.27,1999
Boys Don't Cry,"Released Sep 2, 1999",0.9,0.87,1999
Bringing Out the Dead,"Released Oct 22, 1999",0.73,0.7,1999
Crazy in Alabama,1999,0.3,0.64,1999
Molly,"Released Aug 16, 1999",0.14,0.52,1999
Three to Tango,"Released Oct 22, 1999",0.29,0.48,1999
Being John Malkovich,"Released Oct 29, 1999",0.94,0.87,1999
House on Haunted Hill,"Released Feb 17, 1959",0.79,0.73,1959
The Legend of 1900,1998,0.56,0.91,1998
Music of the Heart,"Released Sep 6, 1999",0.64,0.72,1999
Princess Mononoke,"Released Jul 12, 1997",0.93,0.94,1997
The Suburbans,"Released Oct 29, 1999",0.0,0.22,1999
American Movie,"Released Nov 5, 1999",0.94,0.9,1999
The Bone Collector,"Released Nov 5, 1999",0.29,0.63,1999
The Insider,"Released Nov 5, 1999",0.96,0.9,1999
Mickey's Once Upon a Christmas,1999,0.4,0.66,1999
Light It Up,"Released Nov 10, 1999",0.39,0.75,1999
Anywhere but Here,"Released Oct 12, 1999",0.63,0.55,1999
Dogma,"Released Nov 12, 1999",0.68,0.85,1999
Felicia's Journey,"Released Nov 12, 1999",0.88,0.71,1999
The Messenger: The Story of Joan of Arc,"Released Nov 12, 1999",0.32,0.58,1999
Liberty Heights,"Released Nov 17, 1999",0.86,0.76,1999
Sleepy Hollow,"Released Nov 19, 1999",0.7,0.8,1999
The World Is Not Enough,"Released Nov 19, 1999",0.51,0.49,1999
RKO 281,1999,0.92,0.75,1999
End of Days,"Released Nov 24, 1999",0.11,0.33,1999
Flawless,"Released Nov 24, 1999",0.4,0.54,1999
Agnes Browne,"Released Mar 3, 2000",0.41,0.71,2000
Holy Smoke,"Released Feb 22, 2000",0.46,0.47,2000
Sweet and Lowdown,"Released Sep 4, 1999",0.77,0.82,1999
The Cider House Rules,"Released Sep 7, 1999",0.71,0.77,1999
Cradle Will Rock,"Released Dec 10, 1999",0.65,0.71,1999
Deuce Bigalow: Male Gigolo,"Released Dec 10, 1999",0.22,0.42,1999
The Green Mile,"Released Dec 10, 1999",0.79,0.94,1999
Topsy-Turvy,"Released Jan 14, 2000",0.9,0.79,2000
Bicentennial Man,"Released Dec 17, 1999",0.37,0.59,1999
Fantasia 2000,"Released Jan 1, 2000",0.8,0.75,2000
Magnolia,"Released Jan 7, 2000",0.82,0.89,2000
Stuart Little,"Released Dec 17, 1999",0.67,0.41,1999
"Girl, Interrupted","Released Jan 14, 2000",0.53,0.84,2000
Any Given Sunday,"Released Dec 22, 1999",0.52,0.73,1999
Snow Falling on Cedars,"Released Sep 12, 1999",0.39,0.67,1999
The Big Tease,"Released Jan 28, 1999",0.56,0.54,1999
Angela's Ashes,"Released Jan 21, 2000",0.52,0.81,2000
Galaxy Quest,"Released Dec 25, 1999",0.9,0.79,1999
The Talented Mr. Ripley,"Released Dec 25, 1999",0.85,0.8,1999
Titus,"Released Dec 25, 1999",0.69,0.86,1999
How the Grinch Stole Christmas,"Released Nov 17, 2000",0.49,0.58,2000
Cast Away,"Released Dec 22, 2000",0.89,0.84,2000
Mission: Impossible II,"Released May 24, 2000",0.56,0.42,2000
What Women Want,"Released Dec 15, 2000",0.54,0.54,2000
The Perfect Storm,"Released Jun 30, 2000",0.46,0.63,2000
Meet the Parents,"Released Oct 6, 2000",0.85,0.79,2000
X-Men,"Released Jul 14, 2000",0.82,0.83,2000
Scary Movie,"Released Jul 7, 2000",0.51,0.43,2000
What Lies Beneath,"Released Jul 21, 2000",0.47,0.58,2000
Next Friday,"Released Jan 12, 2000",0.21,0.76,2000
Play It to the Bone,"Released Jan 21, 2000",0.11,0.25,2000
The Boondock Saints,"Released Aug 4, 1999",0.26,0.91,1999
Down to You,"Released Jan 21, 2000",0.03,0.48,2000
Isn't She Great,"Released Jan 28, 2000",0.24,0.37,2000
Simpatico,"Released Feb 4, 2000",0.25,0.14,2000
Gun Shy,"Released Feb 4, 2000",0.26,0.36,2000
Scream 3,"Released Feb 4, 2000",0.41,0.38,2000
The Beach,"Released Feb 11, 2000",0.21,0.57,2000
Snow Day,"Released Feb 11, 2000",0.29,0.27,2000
The Tigger Movie,"Released Feb 11, 2000",0.62,0.62,2000
Beautiful People,"Released May 18, 1999",0.8,0.85,1999
Hanging Up,"Released Feb 18, 2000",0.12,0.34,2000
Pitch Black,"Released Feb 18, 2000",0.6,0.77,2000
The Whole Nine Yards,"Released Feb 18, 2000",0.43,0.64,2000
Wonder Boys,"Released Feb 25, 2000",0.81,0.83,2000
Reindeer Games,"Released Feb 25, 2000",0.25,0.27,2000
3 Strikes,"Released Mar 1, 2000",0.0,0.67,2000
Drowning Mona,"Released Mar 3, 2000",0.29,0.47,2000
My Dog Skip,"Released Mar 3, 2000",0.73,0.68,2000
The Next Best Thing,"Released Mar 3, 2000",0.19,0.35,2000
If These Walls Could Talk 2,"Released Mar 5, 2000",0.6,0.83,2000
Mission to Mars,"Released Mar 10, 2000",0.24,0.3,2000
The Ninth Gate,"Released Mar 10, 2000",0.43,0.58,2000
Erin Brockovich,"Released Mar 17, 2000",0.85,0.81,2000
Final Destination,"Released Mar 17, 2000",0.36,0.68,2000
Romeo Must Die,"Released Mar 22, 2000",0.32,0.61,2000
Ghost Dog: The Way of the Samurai,"Released May 18, 1999",0.84,0.86,1999
Here on Earth,"Released Mar 24, 2000",0.17,0.6,2000
Mr. Accident,"Released Mar 24, 2000",0.17,0.31,2000
Waking the Dead,"Released Mar 24, 2000",0.5,0.77,2000
Leprechaun in the Hood,2000,0.33,0.31,2000
Price of Glory,"Released Mar 31, 2000",0.33,0.76,2000
The Road to El Dorado,"Released Mar 31, 2000",0.49,0.66,2000
The Skulls,"Released Mar 31, 2000",0.09,0.43,2000
Joe Gould's Secret,"Released Jan 21, 2000",0.65,0.63,2000
Ready to Rumble,"Released Apr 7, 2000",0.23,0.52,2000
Return to Me,"Released Apr 7, 2000",0.62,0.8,2000
Rules of Engagement,"Released Mar 31, 2000",0.37,0.55,2000
28 Days,"Released Apr 14, 2000",0.33,0.5,2000
American Psycho,"Released Apr 14, 2000",0.68,0.85,2000
Keeping the Faith,"Released Apr 14, 2000",0.69,0.59,2000
Kevin & Perry Go Large,2000,0.14,0.7,2000
Where the Money Is,"Released Apr 14, 2000",0.48,0.36,2000
Gossip,"Released Apr 21, 2000",0.28,0.47,2000
Love & Basketball,"Released Apr 21, 2000",0.85,0.95,2000
U-571,"Released Apr 21, 2000",0.68,0.62,2000
The Virgin Suicides,"Released May 12, 1999",0.8,0.81,1999
The Big Kahuna,"Released Apr 28, 2000",0.73,0.72,2000
The Flintstones in Viva Rock Vegas,"Released Apr 28, 2000",0.25,0.2,2000
Frequency,"Released Apr 28, 2000",0.7,0.81,2000
The Last September,"Released Apr 28, 2000",0.42,0.33,2000
Timecode,"Released Apr 28, 2000",0.68,0.48,2000
I Dreamed of Africa,"Released May 5, 2000",0.1,0.56,2000
Michael Jordan: To the Max,2000,0.67,0.81,2000
Up at the Villa,"Released May 5, 2000",0.45,0.35,2000
Battlefield Earth,"Released May 12, 2000",0.03,0.13,2000
Center Stage,"Released May 12, 2000",0.41,0.82,2000
Held Up,"Released May 12, 2000",0.17,0.42,2000
Small Time Crooks,"Released May 19, 2000",0.66,0.57,2000
Passion of Mind,"Released Jan 7, 2000",0.19,0.51,2000
Shanghai Noon,"Released May 26, 2000",0.8,0.65,2000
Big Momma's House,"Released Jun 2, 2000",0.3,0.57,2000
Love's Labour's Lost,"Released Feb 14, 2000",0.5,0.4,2000
Sunshine,"Released Jul 27, 2007",0.77,0.73,2007
The Woman Chaser,"Released Oct 8, 1999",0.71,0.73,1999
Boys and Girls,"Released Jun 16, 2000",0.11,0.5,2000
Jesus' Son,"Released Sep 5, 1999",0.79,0.83,1999
Titan A.E.,"Released Jun 16, 2000",0.5,0.61,2000
Time Regained,"Released May 16, 1999",0.72,0.72,1999
Chicken Run,"Released Jun 21, 2000",0.97,0.65,2000
"Me, Myself & Irene","Released Jun 23, 2000",0.48,0.57,2000
Trixie,"Released Jun 28, 2000",0.28,0.23,2000
The Adventures of Rocky and Bullwinkle,"Released Jun 30, 2000",0.42,0.21,2000
But I'm a Cheerleader,"Released Sep 12, 1999",0.43,0.75,1999
Disney's The Kid,"Released Jul 7, 2000",0.49,0.49,2000
Heavy Metal 2000,"Released Jul 10, 2000",0.08,0.36,2000
Chuck & Buck,"Released Jan 21, 2000",0.84,0.66,2000
The Five Senses,"Released May 18, 1999",0.74,0.79,1999
Beethoven's 3rd,2000,0.0,0.25,2000
Thomas and the Magic Railroad,"Released Jul 26, 2000",0.21,0.42,2000
Croupier,"Released Apr 21, 1998",0.95,0.79,1998
The Girl on the Bridge,"Released Mar 31, 1999",0.88,0.91,1999
Nutty Professor II: The Klumps,"Released Jul 28, 2000",0.27,0.33,2000
Wonderland,"Released Oct 17, 2003",0.34,0.65,2003
Coyote Ugly,"Released Aug 4, 2000",0.23,0.71,2000
Hollow Man,"Released Aug 4, 2000",0.26,0.28,2000
Space Cowboys,"Released Aug 4, 2000",0.78,0.53,2000
The Tao of Steve,"Released Jan 26, 2000",0.8,0.69,2000
Autumn in New York,"Released Aug 11, 2000",0.2,0.53,2000
Bless the Child,"Released Aug 11, 2000",0.04,0.43,2000
Cecil B. Demented,"Released May 17, 2000",0.52,0.67,2000
The Opportunists,"Released Aug 11, 2000",0.54,0.46,2000
The Replacements,"Released Aug 11, 2000",0.41,0.66,2000
The Original Kings of Comedy,"Released Aug 18, 2000",0.83,0.79,2000
Bring It On,"Released Aug 25, 2000",0.65,0.66,2000
Highlander: Endgame,"Released Sep 1, 2000",0.11,0.38,2000
Whipped,"Released Sep 1, 2000",0.13,0.32,2000
Turn It Up,"Released Sep 6, 2000",0.1,0.25,2000
Nurse Betty,"Released Sep 8, 2000",0.83,0.45,2000
Urbania,"Released Jan 24, 2000",0.73,0.71,2000
The Watcher,"Released Sep 8, 2000",0.11,0.28,2000
The Way of the Gun,"Released Sep 8, 2000",0.46,0.7,2000
Crime and Punishment in Suburbia,"Released Jan 24, 2000",0.21,0.58,2000
Into the Arms of Strangers: Stories of the Kindertransport,"Released Sep 15, 2000",0.92,0.88,2000
Almost Famous,"Released Sep 15, 2000",0.91,0.92,2000
The Fantasticks,"Released Sep 22, 2000",0.48,0.49,2000
The Specials,2019,0.82,0.86,2019
The Specials,"Released Sep 18, 2000",0.47,0.55,2000
Urban Legends: Final Cut,"Released Sep 22, 2000",0.1,0.2,2000
Woman on Top,"Released Sep 22, 2000",0.35,0.42,2000
Best in Show,"Released Sep 29, 2000",0.93,0.88,2000
Girlfight,"Released Sep 29, 2000",0.87,0.75,2000
Remember the Titans,"Released Sep 29, 2000",0.71,0.93,2000
Scooby-Doo and the Alien Invaders,2000,0.8,0.62,2000
Bamboozled,"Released Oct 20, 2000",0.53,0.74,2000
Bootmen,"Released Oct 5, 2000",0.39,0.69,2000
Dancer in the Dark,"Released Oct 6, 2000",0.7,0.91,2000
Digimon: The Movie,"Released Oct 6, 2000",0.24,0.66,2000
Tigerland,"Released Sep 13, 2000",0.77,0.71,2000
Animal Factory,2000,0.83,0.59,2000
Billy Elliot,"Released Oct 13, 2000",0.85,0.89,2000
Dr. T & the Women,"Released Oct 13, 2000",0.57,0.2,2000
The Ladies' Man,"Released May 26, 1961",1.0,0.67,1961
The Yards,"Released Apr 27, 2000",0.64,0.51,2000
Cherry Falls,2000,0.63,0.41,2000
Drunken Master II,"Released Oct 20, 2000",0.84,0.88,2000
MVP: Most Valuable Primate,"Released Oct 20, 2000",0.4,0.41,2000
Pay It Forward,"Released Oct 20, 2000",0.39,0.77,2000
Book of Shadows: Blair Witch 2,"Released Oct 27, 2000",0.14,0.18,2000
The Little Vampire,"Released Oct 27, 2000",0.55,0.55,2000
Loving Jezebel,"Released Aug 5, 1999",0.33,0.47,1999
Lucky Numbers,"Released Oct 27, 2000",0.23,0.19,2000
Requiem for a Dream,"Released Oct 27, 2000",0.78,0.93,2000
Batman Beyond: Return of the Joker,"Released Dec 12, 2000",1.0,0.86,2000
Mercy Streets,"Released Oct 31, 2000",0.13,0.55,2000
Charlie's Angels,"Released Nov 3, 2000",0.68,0.45,2000
The Legend of Bagger Vance,"Released Nov 3, 2000",0.43,0.65,2000
Little Nicky,"Released Nov 10, 2000",0.22,0.55,2000
Men of Honor,"Released Nov 10, 2000",0.42,0.81,2000
Red Planet,"Released Nov 10, 2000",0.14,0.28,2000
You Can Count on Me,"Released Nov 10, 2000",0.95,0.88,2000
The 6th Day,"Released Nov 17, 2000",0.4,0.33,2000
Bounce,"Released Nov 15, 2000",0.53,0.33,2000
102 Dalmatians,"Released Nov 22, 2000",0.3,0.32,2000
Quills,"Released Dec 15, 2000",0.75,0.83,2000
Unbreakable,"Released Nov 22, 2000",0.7,0.77,2000
Snatch,"Released Jan 19, 2001",0.74,0.93,2001
Dungeons & Dragons,"Released Dec 8, 2000",0.09,0.2,2000
Proof of Life,"Released Dec 8, 2000",0.39,0.43,2000
Vertical Limit,"Released Dec 8, 2000",0.49,0.41,2000
Disappearing Acts,2000,0.6,0.85,2000
Holiday Heart,2000,0.67,0.92,2000
Chocolat,"Released Jan 5, 2001",0.63,0.83,2001
"Dude, Where's My Car?","Released Dec 15, 2000",0.16,0.47,2000
The Emperor's New Groove,"Released Dec 15, 2000",0.86,0.84,2000
Pollock,"Released Sep 30, 2000",0.79,0.74,2000
Finding Forrester,"Released Dec 19, 2000",0.74,0.79,2000
Before Night Falls,"Released Jan 26, 2001",0.74,0.83,2001
Wes Craven Presents: Dracula 2000,"Released Dec 22, 2000",0.17,0.39,2000
The Family Man,"Released Dec 22, 2000",0.53,0.67,2000
Gift,"Released Oct 11, 2019",1.0,0.89,2019
The House of Mirth,"Released Sep 23, 2000",0.82,0.72,2000
Miss Congeniality,"Released Dec 22, 2000",0.41,0.69,2000
"O Brother, Where Art Thou?","Released Dec 22, 2000",0.78,0.89,2000
State and Main,"Released Jan 12, 2001",0.85,0.7,2001
Thirteen Days,"Released Dec 16, 2000",0.83,0.8,2000
All the Pretty Horses,"Released Dec 11, 2000",0.32,0.42,2000
Vatel,"Released Feb 9, 2001",0.31,0.61,2001
The Claim,"Released Dec 29, 2000",0.62,0.48,2000
Shadow of the Vampire,"Released Jan 26, 2001",0.82,0.74,2001
Harry Potter and the Sorcerer's Stone,"Released Nov 16, 2001",0.81,0.82,2001
The Lord of the Rings: The Fellowship of the Ring,"Released Dec 13, 2001",0.92,0.95,2001
Shrek,"Released May 18, 2001",0.88,0.9,2001
"Monsters, Inc.","Released Nov 2, 2001",0.96,0.9,2001
Rush Hour 2,"Released Aug 3, 2001",0.5,0.74,2001
The Mummy Returns,"Released May 4, 2001",0.46,0.63,2001
Ocean's Eleven,"Released Dec 7, 2001",0.83,0.8,2001
Jurassic Park III,"Released Jul 18, 2001",0.49,0.37,2001
Antitrust,"Released Jan 12, 2001",0.24,0.5,2001
Save the Last Dance,"Released Jan 12, 2001",0.54,0.59,2001
The Amati Girls,"Released Jan 9, 2001",0.46,0.64,2001
The Pledge,"Released Jan 19, 2001",0.78,0.59,2001
Sugar & Spice,"Released Jan 26, 2001",0.29,0.42,2001
The Wedding Planner,"Released Jan 26, 2001",0.17,0.59,2001
The Invisible Circus,"Released Jan 26, 2001",0.22,0.44,2001
Valentine,"Released Feb 2, 2001",0.11,0.33,2001
Saving Silverman,"Released Feb 9, 2001",0.18,0.51,2001
Recess: School's Out,"Released Feb 16, 2001",0.6,0.56,2001
Revolution OS,"Released Aug 23, 2002",0.43,0.77,2002
3000 Miles to Graceland,"Released Feb 23, 2001",0.15,0.46,2001
Monkeybone,"Released Feb 23, 2001",0.2,0.27,2001
The Caveman's Valentine,"Released Mar 2, 2001",0.45,0.51,2001
The Mexican,"Released Mar 2, 2001",0.54,0.44,2001
See Spot Run,"Released Mar 2, 2001",0.23,0.44,2001
The Gleaners and I,"Released Jul 9, 2000",0.93,0.86,2000
15 Minutes,"Released Mar 9, 2001",0.32,0.37,2001
Get Over It,"Released Mar 9, 2001",0.43,0.51,2001
Things You Can Tell Just by Looking at Her,"Released Jan 22, 2000",0.76,0.64,2000
Elling,"Released May 29, 2002",0.85,0.91,2002
Enemy at the Gates,"Released Mar 16, 2001",0.54,0.82,2001
Exit Wounds,"Released Mar 14, 2001",0.33,0.45,2001
Memento,"Released Sep 5, 2000",0.94,0.94,2000
Say It Isn't So,"Released Mar 23, 2001",0.08,0.32,2001
Wit,2001,0.83,0.91,2001
Spy Kids,"Released Mar 30, 2001",0.93,0.47,2001
The Tailor of Panama,"Released Mar 30, 2001",0.75,0.46,2001
Tomcats,"Released Mar 30, 2001",0.14,0.42,2001
Along Came a Spider,"Released Apr 6, 2001",0.32,0.53,2001
Blow,"Released Apr 6, 2001",0.56,0.87,2001
Just Visiting,"Released Apr 6, 2001",0.33,0.53,2001
Joe Dirt,"Released Apr 11, 2001",0.09,0.63,2001
Josie and the Pussycats,"Released Apr 11, 2001",0.53,0.52,2001
Kingdom Come,"Released Apr 11, 2001",0.27,0.72,2001
The Center of the World,"Released Apr 20, 2001",0.34,0.4,2001
Crocodile Dundee in Los Angeles,"Released Apr 20, 2001",0.11,0.25,2001
Freddy Got Fingered,"Released Apr 20, 2001",0.1,0.56,2001
"Harry, He's Here to Help","Released May 11, 2000",0.96,0.79,2000
Driven,"Released Aug 16, 2019",0.64,0.62,2019
The Forsaken,"Released Apr 27, 2001",0.07,0.41,2001
One Night at McCool's,"Released Apr 27, 2001",0.33,0.39,2001
Town & Country,"Released Apr 27, 2001",0.13,0.14,2001
61*,2001,0.86,0.9,2001
The King Is Alive,"Released May 11, 2000",0.6,0.58,2000
About Adam,"Released Jan 28, 2000",0.68,0.47,2000
The Man Who Cried,"Released May 25, 2001",0.35,0.59,2001
What's the Worst That Could Happen?,"Released Jun 1, 2001",0.1,0.35,2001
The Anniversary Party,"Released Jun 24, 2001",0.61,0.57,2001
Bride of the Wind,"Released Jun 8, 2001",0.11,0.38,2001
Swordfish,"Released Jun 8, 2001",0.26,0.59,2001
Stanley Kubrick: A Life in Pictures,2001,0.86,0.89,2001
Atlantis: The Lost Empire,"Released Jun 15, 2001",0.49,0.55,2001
Lara Croft: Tomb Raider,"Released Jun 15, 2001",0.2,0.47,2001
Sexy Beast,"Released Sep 13, 2000",0.87,0.85,2000
Dr. Dolittle 2,"Released Jun 22, 2001",0.41,0.26,2001
The Fast and the Furious,"Released Jun 22, 2001",0.54,0.74,2001
The Princess and the Warrior,"Released Jun 22, 2001",0.64,0.88,2001
The Trumpet of the Swan,"Released May 11, 2001",0.14,0.37,2001
Baby Boy,"Released Jun 29, 2001",0.71,0.87,2001
A.I.: Artificial Intelligence,"Released Jun 29, 2001",0.76,0.64,2001
Pootie Tang,"Released Jun 29, 2001",0.27,0.63,2001
Cats & Dogs,"Released Jul 4, 2001",0.52,0.32,2001
Scary Movie 2,"Released Jul 4, 2001",0.13,0.52,2001
Kiss of the Dragon,"Released Jul 6, 2001",0.52,0.68,2001
Lost and Delirious,"Released Jul 6, 2001",0.51,0.78,2001
Final Fantasy: The Spirits Within,"Released Jul 11, 2001",0.44,0.48,2001
Legally Blonde,"Released Jul 13, 2001",0.71,0.72,2001
Made,"Released Jul 13, 2001",0.71,0.66,2001
The Score,"Released Jun 3, 2022",0.56,0.45,2022
America's Sweethearts,"Released Jul 20, 2001",0.33,0.4,2001
Ghost World,"Released Jun 16, 2001",0.93,0.84,2001
Hedwig and the Angry Inch,"Released Jul 20, 2001",0.92,0.93,2001
Wet Hot American Summer,"Released Jul 27, 2001",0.38,0.75,2001
Original Sin,"Released Aug 3, 2001",0.12,0.61,2001
The Princess Diaries,"Released Aug 3, 2001",0.49,0.68,2001
All Over the Guy,"Released Aug 10, 2001",0.43,0.67,2001
American Pie 2,"Released Aug 10, 2001",0.51,0.68,2001
Osmosis Jones,"Released Aug 10, 2001",0.55,0.42,2001
Dinner With Friends,2001,0.9,0.46,2001
American Outlaws,"Released Aug 17, 2001",0.13,0.67,2001
Captain Corelli's Mandolin,"Released Aug 17, 2001",0.28,0.5,2001
Rat Race,"Released Aug 17, 2001",0.45,0.64,2001
